City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
108,Barrow,US,2021-11-08 02:49:57,71.2906,-156.7887,24.82,68,90,13.8,overcast clouds
109,Tambovka,RU,2021-11-08 02:49:58,50.0969,128.0489,17.71,59,93,8.39,overcast clouds
110,Ponta Do Sol,PT,2021-11-08 02:49:58,32.6667,-17.1,66.83,67,14,6.64,few clouds
111,Butaritari,KI,2021-11-08 02:49:59,3.0707,172.7902,82.06,70,13,10.85,few clouds
112,Trelew,AR,2021-11-08 02:50:00,-43.249,-65.3051,62.38,45,100,3.22,overcast clouds
113,Geraldton,AU,2021-11-08 02:50:00,-28.7667,114.6,72.01,49,15,14.97,few clouds
114,Roebourne,AU,2021-11-08 02:50:01,-20.7833,117.1333,84.63,33,3,15.01,clear sky
115,Luoyang,CN,2021-11-08 02:50:01,34.6836,112.4536,46.63,24,0,16.87,clear sky
116,Birjand,IR,2021-11-08 02:50:02,32.8663,59.2211,36.07,75,40,0.0,scattered clouds
117,Bambanglipuro,ID,2021-11-08 02:50:03,-7.95,110.2833,83.79,72,100,2.93,overcast clouds
118,Cabo San Lucas,MX,2021-11-08 02:49:01,22.8909,-109.9124,80.51,49,40,8.55,scattered clouds
119,Karratha,AU,2021-11-08 02:50:04,-20.7377,116.8463,81.55,39,3,16.91,clear sky
120,Barentu,ER,2021-11-08 02:50:04,15.1139,37.5928,72.93,45,11,2.04,few clouds
121,Remontnoye,RU,2021-11-08 02:50:05,46.5614,43.6501,39.61,70,100,7.2,overcast clouds
122,Kuminskiy,RU,2021-11-08 02:50:06,58.6667,66.5667,33.19,97,100,10.49,overcast clouds
123,Bud,US,2021-11-08 02:50:06,39.447,-86.1758,51.64,83,61,6.93,broken clouds
124,Victoria,HK,2021-11-08 02:47:50,22.2855,114.1577,72.25,66,46,5.99,scattered clouds
125,Kavieng,PG,2021-11-08 02:50:07,-2.5744,150.7967,85.12,69,9,16.87,light rain
126,Atkinson,US,2021-11-08 02:49:33,42.8384,-71.147,44.13,80,1,0.0,clear sky
127,Touros,BR,2021-11-08 02:50:07,-5.1989,-35.4608,81.5,77,81,12.28,broken clouds
128,Esperance,AU,2021-11-08 02:50:07,-33.8667,121.9,67.84,56,100,12.57,overcast clouds
129,Saint-Philippe,RE,2021-11-08 02:50:08,-21.3585,55.7679,74.75,79,40,9.69,scattered clouds
130,Kodiak,US,2021-11-08 02:47:38,57.79,-152.4072,31.55,90,97,12.88,light snow
131,Haines Junction,CA,2021-11-08 02:50:08,60.7522,-137.5108,3.15,85,8,0.0,clear sky
132,Mahebourg,MU,2021-11-08 02:49:45,-20.4081,57.7,77.25,83,40,8.05,scattered clouds
133,Berlevag,NO,2021-11-08 02:50:09,70.8578,29.0864,29.8,68,100,7.63,light snow
134,Galesong,ID,2021-11-08 02:50:09,-5.3166,119.3661,86.02,70,99,5.26,overcast clouds
135,Dunedin,NZ,2021-11-08 02:47:38,-45.8742,170.5036,64.8,68,44,7.18,scattered clouds
136,Namikupa,TZ,2021-11-08 02:50:10,-10.8333,39.6,67.66,98,32,2.48,scattered clouds
137,Bagotville,AU,2021-11-08 02:50:10,-28.9833,153.4167,80.42,82,100,6.6,overcast clouds
138,Riyadh,SA,2021-11-08 02:46:13,24.6877,46.7219,62.74,27,53,7.58,broken clouds
139,Avera,US,2021-11-08 02:51:11,33.194,-82.5271,48.7,51,0,6.82,clear sky
140,Hovd,MN,2021-11-08 02:51:11,48.0056,91.6419,22.78,42,0,1.03,clear sky
141,East London,ZA,2021-11-08 02:51:11,-33.0153,27.9116,64.51,93,100,8.66,light rain
142,Jawhar,SO,2021-11-08 02:51:12,2.7809,45.5005,73.9,85,91,5.99,overcast clouds
143,Hasaki,JP,2021-11-08 02:51:12,35.7333,140.8333,68.4,52,49,15.5,scattered clouds
144,Taoudenni,ML,2021-11-08 02:51:12,22.6783,-3.9836,68.36,22,0,15.68,clear sky
145,Lorengau,PG,2021-11-08 02:51:13,-2.0226,147.2712,83.03,79,43,10.38,scattered clouds
146,Half Moon Bay,US,2021-11-08 02:51:13,37.4636,-122.4286,57.06,78,1,1.01,clear sky
147,Portree,GB,2021-11-08 02:51:13,57.4129,-6.1942,47.86,84,100,11.16,overcast clouds
148,Russell,US,2021-11-08 02:49:46,32.3502,-85.1999,49.6,65,0,5.06,clear sky
149,Thompson,CA,2021-11-08 02:47:17,55.7435,-97.8558,35.76,87,75,2.3,broken clouds
150,Dicabisagan,PH,2021-11-08 02:51:14,17.0818,122.4157,83.3,78,74,5.03,broken clouds
151,Lasa,IT,2021-11-08 02:51:14,46.6166,10.7002,40.08,58,69,4.14,broken clouds
152,Avarua,CK,2021-11-08 02:48:48,-21.2078,-159.775,77.05,61,19,10.36,few clouds
153,Bathsheba,BB,2021-11-08 02:51:15,13.2167,-59.5167,81.21,74,40,13.8,scattered clouds
154,Nicoya,CR,2021-11-08 02:51:15,10.1483,-85.452,78.35,88,97,5.32,overcast clouds
155,Hisor,TJ,2021-11-08 02:51:15,38.525,68.5512,40.75,38,96,2.13,overcast clouds
156,Gravdal,NO,2021-11-08 02:51:16,68.1214,13.5031,38.8,59,75,11.36,broken clouds
157,Hambantota,LK,2021-11-08 02:51:16,6.1241,81.1185,77.34,100,20,4.61,few clouds
158,High Level,CA,2021-11-08 02:51:16,58.5169,-117.136,26.71,93,90,6.91,light snow
159,Acari,PE,2021-11-08 02:51:17,-15.4311,-74.6158,67.62,74,61,3.51,broken clouds
160,Cerkezkoy,TR,2021-11-08 02:51:17,41.285,28.0003,56.21,100,90,2.3,fog
161,Rabo De Peixe,PT,2021-11-08 02:51:17,37.8,-25.5833,69.28,84,40,14.97,scattered clouds
162,Kalat,PK,2021-11-08 02:51:18,29.0225,66.5916,50.97,34,1,2.59,clear sky
163,Kahului,US,2021-11-08 02:47:25,20.8947,-156.47,82.42,73,20,26.46,few clouds
164,Bethel,US,2021-11-08 02:51:18,41.3712,-73.414,47.23,69,1,3.44,clear sky
165,Nebaj,GT,2021-11-08 02:51:18,15.4058,-91.1461,57.78,96,75,2.53,broken clouds
166,Airai,TL,2021-11-08 02:51:19,-8.9266,125.4092,73.9,68,91,0.49,overcast clouds
167,Saint Anthony,US,2021-11-08 02:46:36,45.0205,-93.218,54.82,82,1,3.0,clear sky
168,Malinovoye Ozero,RU,2021-11-08 02:51:19,51.6753,79.7825,27.45,68,96,9.26,overcast clouds
169,Korla,CN,2021-11-08 02:51:20,41.7597,86.1469,28.62,28,0,3.24,clear sky
170,Chokurdakh,RU,2021-11-08 02:49:58,70.6333,147.9167,-14.62,94,88,6.46,overcast clouds
171,Norman Wells,CA,2021-11-08 02:51:20,65.282,-126.8329,12.24,85,90,12.66,light snow
172,Vao,NC,2021-11-08 02:51:20,-22.6667,167.4833,72.5,64,14,7.38,few clouds
173,Tuktoyaktuk,CA,2021-11-08 02:47:27,69.4541,-133.0374,21.2,86,90,10.36,overcast clouds
174,Balaipungut,ID,2021-11-08 02:51:22,1.05,101.2833,79.21,63,79,3.18,broken clouds
175,Okhotsk,RU,2021-11-08 02:51:22,59.3833,143.3,9.73,71,42,23.17,scattered clouds
176,Kita,ML,2021-11-08 02:51:22,13.0349,-9.4895,77.72,49,4,2.1,clear sky
177,Muli,MV,2021-11-08 02:51:23,2.9167,73.5667,82.74,73,100,15.9,overcast clouds
178,Itarema,BR,2021-11-08 02:49:32,-2.9248,-39.9167,78.37,82,77,6.93,broken clouds
179,Havre-Saint-Pierre,CA,2021-11-08 02:51:23,50.2334,-63.5986,44.6,93,90,3.44,overcast clouds
180,San Cristobal,VE,2021-11-08 02:51:23,7.7669,-72.225,75.38,90,98,1.74,overcast clouds
181,New Norfolk,AU,2021-11-08 02:51:24,-42.7826,147.0587,63.91,41,12,4.0,few clouds
182,Yeppoon,AU,2021-11-08 02:51:24,-23.1333,150.7333,87.58,63,79,12.77,broken clouds
183,Marystown,CA,2021-11-08 02:51:24,47.1666,-55.1483,46.85,100,20,10.45,few clouds
184,Coihaique,CL,2021-11-08 02:49:08,-45.5752,-72.0662,48.15,71,0,4.61,clear sky
185,Presidente Medici,BR,2021-11-08 02:51:25,-11.1753,-61.9014,71.64,96,74,1.66,broken clouds
186,Coruripe,BR,2021-11-08 02:52:25,-10.1256,-36.1756,76.41,89,42,10.42,scattered clouds
187,Paamiut,GL,2021-11-08 02:52:25,61.994,-49.6678,18.72,66,8,6.17,clear sky
188,San Pedro,PH,2021-11-08 02:52:26,14.35,121.0167,86.36,73,40,4.61,scattered clouds
189,Arraial Do Cabo,BR,2021-11-08 02:52:26,-22.9661,-42.0278,70.18,73,68,5.37,broken clouds
190,Waverly,US,2021-11-08 02:52:27,42.7392,-84.6208,53.53,78,1,5.75,clear sky
191,Quatre Cocos,MU,2021-11-08 02:52:27,-20.2078,57.7625,77.09,79,84,11.59,broken clouds
192,Georgetown,MY,2021-11-08 02:47:30,5.4112,100.3354,84.13,82,20,1.01,few clouds
193,Isangel,VU,2021-11-08 02:52:27,-19.55,169.2667,82.51,65,75,6.91,broken clouds
194,Adrar,MR,2021-11-08 02:52:28,20.5022,-10.0711,69.03,26,100,6.71,overcast clouds
195,Odda,NO,2021-11-08 02:52:28,60.0691,6.5457,45.77,95,100,1.77,overcast clouds
196,Fortuna,US,2021-11-08 02:52:28,40.5982,-124.1573,46.98,69,1,0.0,clear sky
197,Carnarvon,AU,2021-11-08 02:52:29,-24.8667,113.6333,71.67,56,76,16.11,broken clouds
198,Petropavlivka,UA,2021-11-08 02:52:29,48.4564,36.4367,47.84,58,99,10.6,light rain
199,Tiarei,PF,2021-11-08 02:52:30,-17.5333,-149.3333,78.82,76,15,6.42,light rain
200,Yerbogachen,RU,2021-11-08 02:52:30,61.2767,108.0108,27.46,93,100,12.03,light snow
201,Sompeta,IN,2021-11-08 02:52:30,18.9333,84.6,75.79,63,62,7.31,broken clouds
202,Menongue,AO,2021-11-08 02:52:31,-14.6585,17.691,63.46,76,100,1.9,overcast clouds
203,Port Keats,AU,2021-11-08 02:52:31,-14.25,129.55,90.39,57,53,11.03,broken clouds
204,Westport,US,2021-11-08 02:52:31,41.1415,-73.3579,51.19,75,100,6.06,overcast clouds
205,San Quintin,MX,2021-11-08 02:52:32,30.4833,-115.95,61.86,85,19,4.59,few clouds
206,Indramayu,ID,2021-11-08 02:52:32,-6.3264,108.32,83.79,68,100,5.14,moderate rain
207,Dingle,PH,2021-11-08 02:52:32,10.9995,122.6711,86.22,75,43,12.17,scattered clouds
208,Tual,ID,2021-11-08 02:52:33,-5.6667,132.75,84.79,73,36,7.31,scattered clouds
209,Kaffrine,SN,2021-11-08 02:52:33,14.1059,-15.5508,76.01,44,63,7.92,broken clouds
210,Lata,PT,2021-11-08 02:52:33,40.1629,-8.3327,49.05,63,99,3.83,overcast clouds
211,Klaksvik,FO,2021-11-08 02:52:34,62.2266,-6.589,45.52,82,99,21.88,overcast clouds
212,Pangnirtung,CA,2021-11-08 02:52:34,66.1451,-65.7125,15.8,62,1,12.66,clear sky
213,Tura,IN,2021-11-08 02:52:34,25.5198,90.2201,73.02,63,72,0.63,broken clouds
214,Cidreira,BR,2021-11-08 02:52:35,-30.1811,-50.2056,61.84,73,6,3.47,clear sky
215,Kudahuvadhoo,MV,2021-11-08 02:52:35,2.6708,72.8944,82.85,71,98,18.41,overcast clouds
216,Kaitangata,NZ,2021-11-08 02:52:35,-46.2817,169.8464,61.93,78,90,6.71,overcast clouds
217,Senanga,ZM,2021-11-08 02:52:36,-16.1167,23.2667,74.5,29,69,4.63,broken clouds
218,Adra,ES,2021-11-08 02:52:36,36.7496,-3.0206,51.66,34,0,4.32,clear sky
219,Saskylakh,RU,2021-11-08 02:52:36,71.9167,114.0833,13.55,93,100,9.26,overcast clouds
220,Sinnamary,GF,2021-11-08 02:52:37,5.3833,-52.95,78.98,86,100,10.58,overcast clouds
221,Lebu,CL,2021-11-08 02:52:37,-37.6167,-73.65,52.59,94,74,9.6,broken clouds
222,Tevaitoa,PF,2021-11-08 02:52:37,-16.7833,-151.5,78.73,77,17,10.83,light rain
223,Padang,ID,2021-11-08 02:52:38,-0.9492,100.3543,84.25,76,100,5.17,overcast clouds
224,Sitka,US,2021-11-08 02:52:38,57.0531,-135.33,44.49,57,20,6.91,few clouds
225,Port Augusta,AU,2021-11-08 02:52:38,-32.5,137.7667,74.71,36,100,11.41,overcast clouds
226,Walvis Bay,NA,2021-11-08 02:52:39,-22.9575,14.5053,54.09,82,3,3.44,clear sky
227,Ojinaga,MX,2021-11-08 02:52:39,29.5667,-104.4167,74.35,31,1,6.91,clear sky
228,Mar Del Plata,AR,2021-11-08 02:52:39,-38.0023,-57.5575,60.1,85,0,7.0,clear sky
229,Bambous Virieux,MU,2021-11-08 02:52:40,-20.3428,57.7575,77.22,83,40,8.05,scattered clouds
230,Pimentel,PE,2021-11-08 02:52:40,-6.8367,-79.9342,63.64,84,59,11.99,broken clouds
231,Pingxiang,CN,2021-11-08 02:52:40,27.6167,113.85,51.44,53,2,3.6,clear sky
232,Prince Rupert,CA,2021-11-08 02:53:41,54.3161,-130.3201,40.69,84,100,11.5,overcast clouds
233,La Primavera,CO,2021-11-08 02:53:41,5.4906,-70.4092,78.13,78,100,4.85,overcast clouds
234,Dickinson,US,2021-11-08 02:53:41,29.4608,-95.0513,62.94,87,0,5.88,clear sky
235,Kasempa,ZM,2021-11-08 02:53:42,-13.4584,25.8338,69.39,39,67,5.23,broken clouds
236,Nantucket,US,2021-11-08 02:53:42,41.2835,-70.0995,52.14,82,100,19.57,overcast clouds
237,Poso,ID,2021-11-08 02:53:42,-1.3959,120.7524,87.58,63,72,3.76,broken clouds
238,Udachnyy,RU,2021-11-08 02:53:43,66.4167,112.4,17.92,88,84,10.33,broken clouds
239,La Serena,CL,2021-11-08 02:53:43,-29.9078,-71.2542,54.91,87,0,4.61,clear sky
240,San Patricio,US,2021-11-08 02:53:43,28.017,-97.5169,70.83,73,0,6.82,clear sky
241,Castanas,PH,2021-11-08 02:53:44,13.8822,121.5517,86.09,69,59,9.28,broken clouds
242,Zihuatanejo,MX,2021-11-08 02:53:44,17.6333,-101.55,78.78,85,60,2.98,broken clouds
243,Nakhon Thai,TH,2021-11-08 02:53:44,17.1006,100.8374,85.19,79,20,3.96,few clouds
244,Bairiki,KI,2021-11-08 02:53:45,1.3292,172.9752,86.0,70,40,9.22,scattered clouds
245,Marawi,PH,2021-11-08 02:53:45,7.9986,124.2928,76.64,58,29,4.61,scattered clouds
246,Verkhnyaya Inta,RU,2021-11-08 02:53:45,65.9811,60.3094,22.01,95,100,6.49,overcast clouds
247,Kovdor,RU,2021-11-08 02:53:46,67.5662,30.4758,14.13,97,86,3.04,overcast clouds
248,College,US,2021-11-08 02:53:46,64.8569,-147.8028,24.58,92,90,3.44,mist
249,Lompoc,US,2021-11-08 02:53:46,34.6391,-120.4579,62.91,66,1,8.05,clear sky
250,Seoul,KR,2021-11-08 02:51:02,37.5683,126.9778,47.16,84,90,11.5,moderate rain
251,Naze,JP,2021-11-08 02:53:47,28.3667,129.4833,74.32,62,100,4.92,overcast clouds
252,Cedar City,US,2021-11-08 02:53:47,37.6775,-113.0619,49.19,42,0,7.36,clear sky
253,Camacha,PT,2021-11-08 02:53:47,33.0833,-16.3333,63.82,59,40,10.36,scattered clouds
254,Harwich,GB,2021-11-08 02:53:48,51.9419,1.2844,44.35,86,97,5.01,overcast clouds
255,Tuyen Quang,VN,2021-11-08 02:53:48,21.8233,105.2181,64.17,84,100,2.8,overcast clouds
256,Burnie,AU,2021-11-08 02:53:48,-41.0667,145.9167,61.57,47,8,10.16,clear sky
257,Totness,SR,2021-11-08 02:53:49,5.8833,-56.3167,78.44,86,84,9.73,broken clouds
258,Brae,GB,2021-11-08 02:53:49,60.3964,-1.353,40.91,66,98,3.67,overcast clouds
259,Penarroya-Pueblonuevo,ES,2021-11-08 02:53:49,38.3,-5.2667,43.45,54,0,3.85,clear sky
260,Dondo,MZ,2021-11-08 02:53:50,-19.6094,34.7431,71.11,93,0,4.72,clear sky
261,Saint George,US,2021-11-08 02:53:50,37.1041,-113.5841,68.95,30,1,1.99,clear sky
