City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
124,Greenwood,US,11/7/2021 0:32,34.1668,-82.1165,50.59,60,1,3
125,Phalombe,MW,11/7/2021 0:36,-15.8064,35.6507,71.4,51,1,3.04
126,Rochegda,RU,11/7/2021 0:36,62.8,43.25,36.64,93,100,8.72
127,Marrakesh,MA,11/7/2021 0:36,31.6315,-8.0083,50.07,62,0,4.61
128,Abu Samrah,SY,11/7/2021 0:36,35.3029,37.1841,62.08,45,0,1.41
129,Abha,SA,11/7/2021 0:36,18.2164,42.5053,53.85,94,0,0
130,Ostrovnoy,RU,11/7/2021 0:36,68.0531,39.5131,33.21,91,100,29.84
131,Helong,CN,11/7/2021 0:36,42.5397,128.9972,42.13,76,96,2.64
132,Cortez,US,11/7/2021 0:36,37.3489,-108.5859,61.56,26,1,3.44
133,Fortuna,US,11/7/2021 0:36,40.5982,-124.1573,56.32,71,20,4.61
134,Roatan,HN,11/7/2021 0:36,16.3244,-86.5366,79.88,78,75,6.91
135,Kaliua,TZ,11/7/2021 0:36,-5.0606,31.7936,67.59,41,64,3.98
136,Bluff,NZ,11/7/2021 0:36,-46.6,168.3333,63.81,80,96,9.55
137,Inta,RU,11/7/2021 0:36,66.0317,60.1659,35.08,98,100,16.55
138,Yining,CN,11/7/2021 0:36,29.0361,114.5636,48.16,89,100,8.39
139,Simao,CN,11/7/2021 0:36,22.7886,100.9748,63.55,80,18,1.9
140,Mannarakkat,IN,11/7/2021 0:37,10.9833,76.4667,76.66,98,100,1.5
141,Goderich,CA,11/7/2021 0:37,43.7501,-81.7165,48.52,57,6,14.97
142,Haines Junction,CA,11/7/2021 0:37,60.7522,-137.5108,28.35,93,100,1.14
143,Upernavik,GL,11/7/2021 0:37,72.7868,-56.1549,14.56,87,95,10.67
144,Pecos,US,11/7/2021 0:37,31.4229,-103.4932,74.23,33,1,6.91
145,Ponta Do Sol,PT,11/7/2021 0:37,32.6667,-17.1,68.63,66,36,8.41
146,Sao Joao Da Barra,BR,11/7/2021 0:37,-21.6403,-41.0511,68.9,78,86,5.88
147,Chimbote,PE,11/7/2021 0:37,-9.0853,-78.5783,64.11,85,61,7.54
148,Morehead,US,11/7/2021 0:34,37.2711,-87.1764,45.84,80,1,0
149,Tura,IN,11/7/2021 0:37,25.5198,90.2201,63.59,88,6,3.51
150,Santa Maria,BR,11/7/2021 0:34,-29.6842,-53.8069,65.5,77,90,11.5
151,Muyezerskiy,RU,11/7/2021 0:37,63.9333,31.65,33.15,86,100,9.89
152,Parabel,RU,11/7/2021 0:37,58.6978,81.4825,34,78,100,17.4
153,Tevaitoa,PF,11/7/2021 0:37,-16.7833,-151.5,80.01,69,86,4.59
154,Sitka,US,11/7/2021 0:37,57.0531,-135.33,44.49,70,40,5.75
155,Rafaela,AR,11/7/2021 0:37,-31.2503,-61.4867,64.98,50,6,1.01
156,Tromso,NO,11/7/2021 0:34,69.6496,18.957,32.38,93,0,1.14
157,Portland,US,11/7/2021 0:37,45.5234,-122.6762,48.78,87,75,1.01
158,Tarauaca,BR,11/7/2021 0:33,-8.1614,-70.7656,74.55,88,20,1.68
159,Igarka,RU,11/7/2021 0:37,67.4667,86.5833,29.5,97,100,20.78
160,Lebu,CL,11/7/2021 0:37,-37.6167,-73.65,52.23,87,34,14.12
161,Keuruu,FI,11/7/2021 0:37,62.2667,24.7,35.74,95,9,6.22
162,Mokshan,RU,11/7/2021 0:37,53.4365,44.6132,40.19,92,100,11.74
163,Kaili,ID,11/7/2021 0:37,-3.4626,120.2147,78.12,69,85,2.91
164,Fairbanks,US,11/7/2021 0:35,64.8378,-147.7164,25.61,92,90,0
165,Arraial Do Cabo,BR,11/7/2021 0:36,-22.9661,-42.0278,69.42,73,10,5.46
166,Qaanaaq,GL,11/7/2021 0:37,77.484,-69.3632,5.72,74,90,7.63
167,Gamba,GA,11/7/2021 0:37,-2.65,10,76.05,90,100,3.47
168,Tiarei,PF,11/7/2021 0:37,-17.5333,-149.3333,82.42,78,81,3.71
169,Irbeyskoye,RU,11/7/2021 0:37,55.6428,95.4522,27.28,72,87,10.54
170,Namibe,AO,11/7/2021 0:37,-15.1961,12.1522,70.79,79,100,1.79
171,Dalnerechensk,RU,11/7/2021 0:37,45.9339,133.7225,26.82,26,100,3.27
172,Hirara,JP,11/7/2021 0:37,24.8,125.2833,79.07,73,20,12.66
173,Yuyao,CN,11/7/2021 0:37,30.05,121.1494,69.76,85,61,6.15
174,Necochea,AR,11/7/2021 0:37,-38.5473,-58.7368,50.04,67,100,9.28
175,Asgabat,TM,11/7/2021 0:37,37.95,58.3833,33.66,60,20,2.3
176,Pyaozerskiy,RU,11/7/2021 0:37,65.8333,31.1667,31.05,98,100,5.97
177,Yerofey Pavlovich,RU,11/7/2021 0:35,53.9667,121.9667,15.62,49,100,1.5
178,Khatanga,RU,11/7/2021 0:37,71.9667,102.5,10.76,95,100,4.9
179,Sulz,DE,11/7/2021 0:37,48.3624,8.6331,38.5,100,91,4.21
180,Arman,RU,11/7/2021 0:37,59.7,150.1667,35.02,92,100,21.09
181,Muros,ES,11/7/2021 0:37,42.7762,-9.0603,50.99,89,0,12.33
182,Vestmannaeyjar,IS,11/7/2021 0:37,63.4427,-20.2734,38.03,83,68,22.26
183,San Quintin,MX,11/7/2021 0:37,30.4833,-115.95,66.43,83,0,7.96
184,Rincon,US,11/7/2021 0:37,32.296,-81.2354,51.85,94,90,1.99
185,Hermanus,ZA,11/7/2021 0:37,-34.4187,19.2345,56.89,78,17,5.61
186,Aquiraz,BR,11/7/2021 0:37,-3.9014,-38.3911,81.18,81,96,9.35
187,Vilhena,BR,11/7/2021 0:38,-12.7406,-60.1458,68.13,99,100,1.54
188,Kirakira,SB,11/7/2021 0:38,-10.4544,161.9205,84.61,70,12,7.45
189,Veinticinco De Mayo,AR,11/7/2021 0:38,-35.4323,-60.1727,64.06,61,100,8.99
190,Port Hardy,CA,11/7/2021 0:38,50.6996,-127.4199,42.98,81,75,5.75
191,Tilichiki,RU,11/7/2021 0:38,60.4667,166.1,28.36,90,100,4.81
192,Ozinki,RU,11/7/2021 0:38,51.1786,49.6769,36.68,53,100,19.57
193,Dingle,PH,11/7/2021 0:38,10.9995,122.6711,83.62,78,92,11.25
194,Vanimo,PG,11/7/2021 0:38,-2.6741,141.3028,86.74,58,78,4.68
195,Tautira,PF,11/7/2021 0:38,-17.7333,-149.15,82.42,78,61,6.91
196,Kavaratti,IN,11/7/2021 0:38,10.5669,72.642,81.59,72,85,9.8
