City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
383,Loa Janan,ID,76.82,overcast clouds,-0.583,117.095,Bangsal Pak Tikno
389,Robertsport,LR,79.18,light rain,6.7533,-11.3686,Kwepunha Retreat
390,Tautira,PF,78.82,light rain,-17.7333,-149.15,Pension Oaoa
392,Belmonte,BR,77.5,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
395,Cockburn Town,TC,81.86,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
396,Tayu,ID,86.09,overcast clouds,-6.5397,111.0518,Toko pakaian bu is Tayu
398,Kunnamangalam,IN,79.43,broken clouds,11.3046,75.8777,Hotel Monad
399,Sorong,ID,84.9,clear sky,-0.8833,131.25,waigo splash hotel
400,Batemans Bay,AU,78.98,light rain,-35.7167,150.1833,Batemans Bay Marina Resort
406,Diffa,NE,78.75,overcast clouds,13.3154,12.6113,ProDAF/Diffa
409,Alenquer,BR,75.54,broken clouds,-1.9417,-54.7383,Josilene Castro
421,Sinjai,ID,89.06,overcast clouds,-5.1241,120.253,Wisma Sandika
423,Bac Lieu,VN,84.04,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
431,Podor,MR,80.64,scattered clouds,16.6527,-14.9587,Auberge Du Tékrour
439,Cabedelo,BR,79.47,broken clouds,-6.9811,-34.8339,Hotel Pigalle
450,Prachuap Khiri Khan,TH,82.71,broken clouds,12.2167,99.75,ผกากรองรีสอร์ท
454,Pandan,PH,82.69,overcast clouds,14.0453,124.1694,Bonifacio Lodge
461,Nishihara,JP,78.46,overcast clouds,26.1842,127.7558,Minshuku Agaihama
462,Clarence Town,AU,77.61,scattered clouds,-32.5833,151.7833,River Downs Cottage
464,Gizo,SB,84.45,light rain,-8.103,156.8419,Imagination Island
469,Muswellbrook,AU,79.79,scattered clouds,-32.2667,150.9,Wayfarer Motel
471,Kendari,ID,86.99,broken clouds,-3.945,122.4989,Hotel Wixel
473,Mount Isa,AU,85.77,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
474,Vaitape,PF,79.47,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
477,Alugan,PH,83.75,light rain,12.2188,125.4808,JM Lodge
480,Sur,OM,76.3,clear sky,22.5667,59.5289,Sur Plaza Hotel
485,Cotonou,BJ,76.98,few clouds,6.3654,2.4183,Novotel Cotonou Orisha
486,Veraval,IN,79.95,overcast clouds,20.9,70.3667,Lords Inn Somnath
491,Gigmoto,PH,82.87,moderate rain,13.7796,124.39,Cj's Travellers Inn
499,Black River,JM,76.98,scattered clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
516,Kalmunai,LK,78.89,overcast clouds,7.4167,81.8167,VS Villa
520,Dakar,SN,76.08,broken clouds,14.6937,-17.4441,Redface Studios Meublés
522,Porto Velho,BR,75.25,clear sky,-8.7619,-63.9039,Hotel Central
523,Buala,SB,86.16,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
534,Mitsamiouli,KM,78.96,scattered clouds,-11.3847,43.2844,Foyer ADM
538,Ormara,PK,78.94,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
540,Ciudad Bolivar,VE,77.14,overcast clouds,8.1222,-63.5497,Hotel Edi
543,Dingalan,PH,81.39,heavy intensity rain,15.3897,121.3929,Fil Dane Inn
545,Kavaratti,IN,81.52,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
546,Carutapera,BR,77.85,broken clouds,-1.195,-46.02,Lidera
548,Gwadar,PK,75.79,clear sky,25.1216,62.3254,Sadaf Resort
558,Inverell,AU,75.67,light rain,-29.7833,151.1167,Sapphire City Motor Inn
589,Arlit,NE,76.64,broken clouds,18.7369,7.3853,Case de Passage De la Prefecture
594,Bodden Town,KY,80.6,broken clouds,19.2833,-81.25,Will T Place
595,Grand Gaube,MU,78.39,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
599,Sola,VU,81.63,scattered clouds,-13.8833,167.55,Leumerus Bungalows
601,Catio,GW,78.89,light rain,11.2833,-15.25,Pausada Morabedja
602,Mongu,ZM,76.91,overcast clouds,-15.2484,23.1274,Country Lodge Mongu
609,Ayorou,NE,81.46,broken clouds,14.7308,0.9174,Hotel Amenokal
613,Piacabucu,BR,77.2,few clouds,-10.4056,-36.4344,Piaçabuçu News
618,Jaisalmer,IN,79.0,clear sky,26.9147,70.9181,Hotel Fifu
619,Jalor,IN,78.04,overcast clouds,25.35,72.6167,Hotel Mansarovar
620,Pangkalanbuun,ID,76.48,light rain,-2.6833,111.6167,Grand Kecubung Hotel
623,Cacu,BR,75.63,scattered clouds,-18.5567,-51.1308,Império Hotel
625,Luwuk,ID,85.8,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
628,Omboue,GA,76.48,overcast clouds,-1.5746,9.2618,Hotel Olako
629,Bali,ID,86.97,overcast clouds,-8.5,115.0,"Pondok Pitaya: Hotel, Surfing and Yoga"
630,Champerico,GT,80.35,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
631,The Valley,AI,77.83,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
641,Alice Springs,AU,88.74,light rain,-23.7,133.8833,Desert Palms Alice Springs
643,Namatanai,PG,86.63,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
644,Berbera,SO,79.05,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
648,Kloulklubed,PW,81.1,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
653,Kirakira,SB,86.0,clear sky,-10.4544,161.9205,SanBiz Lodge
657,Daru,PG,85.24,broken clouds,-9.0763,143.2092,Daru Lodge
667,Akyab,MM,79.88,overcast clouds,20.15,92.9,Hotel Memory
668,Manama,BH,77.34,few clouds,26.2154,50.5832,Al Safir Hotel
671,Morondava,MG,75.54,clear sky,-20.2833,44.2833,La Case Bambou
677,Saint-Pierre,RE,75.56,clear sky,-21.3393,55.4781,Lindsey Hôtel
678,Vanimo,PG,86.56,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
682,Songkhla,TH,86.05,overcast clouds,6.8333,100.6667,น.ส ซัลมา สาแม็ง
688,Poum,NC,76.05,overcast clouds,-20.2333,164.0167,Gîte kajeon
689,Maceio,BR,80.04,scattered clouds,-9.6658,-35.7353,Poutur Pousada
690,Acajutla,SV,78.69,broken clouds,13.5928,-89.8275,asi es
703,Balikpapan,ID,79.79,light rain,-1.2675,116.8289,ibis Balikpapan
705,Harper,LR,78.53,overcast clouds,4.375,-7.7169,Screensaver
706,Sibolga,ID,77.23,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
708,Cayenne,GF,81.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
713,Puerto Escondido,MX,78.37,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
717,Porbandar,IN,76.98,smoke,21.6422,69.6093,Lords Inn Porbandar
719,Logon,PH,84.81,scattered clouds,11.3303,124.1146,Tepanee Beach Resort
